year,lgid,teamid,franchid,divid,rank,g,w,l,divwin,wcwin,lgwin,wswin,r,ra,name,attendance,payroll
1923,NL,PIT,PIT,,3,154,87,67,,,N,N,786,696,Pittsburgh Pirates,611082,
1924,NL,PIT,PIT,,3,153,90,63,,,N,N,724,588,Pittsburgh Pirates,736883,
1925,NL,PIT,PIT,,1,153,95,58,,,Y,Y,912,715,Pittsburgh Pirates,804354,
1926,NL,PIT,PIT,,3,157,84,69,,,N,N,769,689,Pittsburgh Pirates,798542,
1927,NL,PIT,PIT,,1,156,94,60,,,Y,N,817,659,Pittsburgh Pirates,869720,
1928,NL,PIT,PIT,,4,152,85,67,,,N,N,837,704,Pittsburgh Pirates,495070,
1929,NL,PIT,PIT,,2,154,88,65,,,N,N,904,780,Pittsburgh Pirates,491377,
1930,NL,PIT,PIT,,5,154,80,74,,,N,N,891,928,Pittsburgh Pirates,357795,
1931,NL,PIT,PIT,,5,155,75,79,,,N,N,636,691,Pittsburgh Pirates,260392,
1932,NL,PIT,PIT,,2,154,86,68,,,N,N,701,711,Pittsburgh Pirates,287262,
1933,NL,PIT,PIT,,2,154,87,67,,,N,N,667,619,Pittsburgh Pirates,288747,
1934,NL,PIT,PIT,,5,151,74,76,,,N,N,735,713,Pittsburgh Pirates,322622,
1935,NL,PIT,PIT,,4,153,86,67,,,N,N,743,647,Pittsburgh Pirates,352885,
1936,NL,PIT,PIT,,4,156,84,70,,,N,N,804,718,Pittsburgh Pirates,372524,
1937,NL,PIT,PIT,,3,154,86,68,,,N,N,704,646,Pittsburgh Pirates,459679,
1938,NL,PIT,PIT,,2,152,86,64,,,N,N,707,630,Pittsburgh Pirates,641033,
1939,NL,PIT,PIT,,6,153,68,85,,,N,N,666,721,Pittsburgh Pirates,376734,
1940,NL,PIT,PIT,,4,156,78,76,,,N,N,809,783,Pittsburgh Pirates,507934,
1941,NL,PIT,PIT,,4,156,81,73,,,N,N,690,643,Pittsburgh Pirates,482241,
1942,NL,PIT,PIT,,5,151,66,81,,,N,N,585,631,Pittsburgh Pirates,448897,
1943,NL,PIT,PIT,,4,157,80,74,,,N,N,669,605,Pittsburgh Pirates,498740,
1944,NL,PIT,PIT,,2,158,90,63,,,N,N,744,662,Pittsburgh Pirates,604278,
1945,NL,PIT,PIT,,4,155,82,72,,,N,N,753,686,Pittsburgh Pirates,604694,
1946,NL,PIT,PIT,,7,155,63,91,,,N,N,552,668,Pittsburgh Pirates,749962,
1947,NL,PIT,PIT,,7,156,62,92,,,N,N,744,817,Pittsburgh Pirates,1283531,
1948,NL,PIT,PIT,,4,156,83,71,,,N,N,706,699,Pittsburgh Pirates,1517021,
1949,NL,PIT,PIT,,6,154,71,83,,,N,N,681,760,Pittsburgh Pirates,1449435,
1950,NL,PIT,PIT,,8,154,57,96,,,N,N,681,857,Pittsburgh Pirates,1166267,
1951,NL,PIT,PIT,,7,155,64,90,,,N,N,689,845,Pittsburgh Pirates,980590,
1952,NL,PIT,PIT,,8,155,42,112,,,N,N,515,793,Pittsburgh Pirates,686673,
1953,NL,PIT,PIT,,8,154,50,104,,,N,N,622,887,Pittsburgh Pirates,572757,
1954,NL,PIT,PIT,,8,154,53,101,,,N,N,557,845,Pittsburgh Pirates,475494,
1955,NL,PIT,PIT,,8,154,60,94,,,N,N,560,767,Pittsburgh Pirates,469397,
1956,NL,PIT,PIT,,7,157,66,88,,,N,N,588,653,Pittsburgh Pirates,949878,
1957,NL,PIT,PIT,,7,155,62,92,,,N,N,586,696,Pittsburgh Pirates,850732,
1958,NL,PIT,PIT,,2,154,84,70,,,N,N,662,607,Pittsburgh Pirates,1311988,
1959,NL,PIT,PIT,,4,155,78,76,,,N,N,651,680,Pittsburgh Pirates,1359917,
1960,NL,PIT,PIT,,1,155,95,59,,,Y,Y,734,593,Pittsburgh Pirates,1705828,
1961,NL,PIT,PIT,,6,154,75,79,,,N,N,694,675,Pittsburgh Pirates,1199128,
1962,NL,PIT,PIT,,4,161,93,68,,,N,N,706,626,Pittsburgh Pirates,1090648,
1963,NL,PIT,PIT,,8,162,74,88,,,N,N,567,595,Pittsburgh Pirates,783648,
1964,NL,PIT,PIT,,6,162,80,82,,,N,N,663,636,Pittsburgh Pirates,759496,
1965,NL,PIT,PIT,,3,163,90,72,,,N,N,675,580,Pittsburgh Pirates,909279,
1966,NL,PIT,PIT,,3,162,92,70,,,N,N,759,641,Pittsburgh Pirates,1196618,
1967,NL,PIT,PIT,,6,163,81,81,,,N,N,679,693,Pittsburgh Pirates,907012,
1968,NL,PIT,PIT,,6,163,80,82,,,N,N,583,532,Pittsburgh Pirates,693485,
1969,NL,PIT,PIT,E,3,162,88,74,N,,N,N,725,652,Pittsburgh Pirates,769369,
1970,NL,PIT,PIT,E,1,162,89,73,Y,,N,N,729,664,Pittsburgh Pirates,1341947,
1971,NL,PIT,PIT,E,1,162,97,65,Y,,Y,Y,788,599,Pittsburgh Pirates,1501132,
1972,NL,PIT,PIT,E,1,155,96,59,Y,,N,N,691,512,Pittsburgh Pirates,1427460,
1973,NL,PIT,PIT,E,3,162,80,82,N,,N,N,704,693,Pittsburgh Pirates,1319913,
1974,NL,PIT,PIT,E,1,162,88,74,Y,,N,N,751,657,Pittsburgh Pirates,1110552,
1975,NL,PIT,PIT,E,1,161,92,69,Y,,N,N,712,565,Pittsburgh Pirates,1270018,
1976,NL,PIT,PIT,E,2,162,92,70,N,,N,N,708,630,Pittsburgh Pirates,1025945,
1977,NL,PIT,PIT,E,2,162,96,66,N,,N,N,734,665,Pittsburgh Pirates,1237349,
1978,NL,PIT,PIT,E,2,161,88,73,N,,N,N,684,637,Pittsburgh Pirates,964106,
1979,NL,PIT,PIT,E,1,163,98,64,Y,,Y,Y,775,643,Pittsburgh Pirates,1435454,
1980,NL,PIT,PIT,E,3,162,83,79,N,,N,N,666,646,Pittsburgh Pirates,1646757,
1981,NL,PIT,PIT,E,4,103,46,56,N,,N,N,407,425,Pittsburgh Pirates,541789,
1982,NL,PIT,PIT,E,4,162,84,78,N,,N,N,724,696,Pittsburgh Pirates,1024106,
1983,NL,PIT,PIT,E,2,162,84,78,N,,N,N,659,648,Pittsburgh Pirates,1225916,
1984,NL,PIT,PIT,E,6,162,75,87,N,,N,N,615,567,Pittsburgh Pirates,773500,
1985,NL,PIT,PIT,E,6,161,57,104,N,,N,N,568,708,Pittsburgh Pirates,735900,9227500
1986,NL,PIT,PIT,E,6,162,64,98,N,,N,N,663,700,Pittsburgh Pirates,1000917,10843500
1987,NL,PIT,PIT,E,4,162,80,82,N,,N,N,723,744,Pittsburgh Pirates,1161193,7652000
1988,NL,PIT,PIT,E,2,160,85,75,N,,N,N,651,616,Pittsburgh Pirates,1866713,5998500
1989,NL,PIT,PIT,E,5,164,74,88,N,,N,N,637,680,Pittsburgh Pirates,1374141,12737500
1990,NL,PIT,PIT,E,1,162,95,67,Y,,N,N,733,619,Pittsburgh Pirates,2049908,15556000
1991,NL,PIT,PIT,E,1,162,98,64,Y,,N,N,768,632,Pittsburgh Pirates,2065302,23634667
1992,NL,PIT,PIT,E,1,162,96,66,Y,,N,N,693,595,Pittsburgh Pirates,1829395,33944167
1993,NL,PIT,PIT,E,5,162,75,87,N,,N,N,707,806,Pittsburgh Pirates,1650593,24822467
1994,NL,PIT,PIT,C,3,114,53,61,,,,,466,580,Pittsburgh Pirates,1222520,24217250
1995,NL,PIT,PIT,C,5,144,58,86,N,N,N,N,629,736,Pittsburgh Pirates,905517,18355345
1996,NL,PIT,PIT,C,5,162,73,89,N,N,N,N,776,833,Pittsburgh Pirates,1332150,23017500
1997,NL,PIT,PIT,C,2,162,79,83,N,N,N,N,725,760,Pittsburgh Pirates,1657022,10771667
1998,NL,PIT,PIT,C,6,163,69,93,N,N,N,N,650,718,Pittsburgh Pirates,1560950,15065000
1999,NL,PIT,PIT,C,3,161,78,83,N,N,N,N,775,782,Pittsburgh Pirates,1638023,24697666
2000,NL,PIT,PIT,C,5,162,69,93,N,N,N,N,793,888,Pittsburgh Pirates,1748908,28928334
2001,NL,PIT,PIT,C,6,162,62,100,N,N,N,N,657,858,Pittsburgh Pirates,2464870,57760833
2002,NL,PIT,PIT,C,4,161,72,89,N,N,N,N,641,730,Pittsburgh Pirates,1784988,42323599
2003,NL,PIT,PIT,C,4,162,75,87,N,N,N,N,753,801,Pittsburgh Pirates,1636751,54812429
2004,NL,PIT,PIT,C,5,161,72,89,N,N,N,N,680,744,Pittsburgh Pirates,1580031,32227929
2005,NL,PIT,PIT,C,6,162,67,95,N,N,N,N,680,769,Pittsburgh Pirates,1817245,38133000
2006,NL,PIT,PIT,C,5,162,67,95,N,N,N,N,691,797,Pittsburgh Pirates,1861549,46717750
2007,NL,PIT,PIT,C,6,162,68,94,N,N,N,N,724,846,Pittsburgh Pirates,1749142,38537833
2008,NL,PIT,PIT,C,6,162,67,95,N,N,N,N,735,884,Pittsburgh Pirates,1609076,48689783
2009,NL,PIT,PIT,C,6,161,62,99,N,N,N,N,636,768,Pittsburgh Pirates,1577853,48693000
2010,NL,PIT,PIT,C,6,162,57,105,N,N,N,N,587,866,Pittsburgh Pirates,1613399,34943000
2011,NL,PIT,PIT,C,4,162,72,90,N,N,N,N,610,712,Pittsburgh Pirates,1940429,45047000
2012,NL,PIT,PIT,C,4,162,79,83,N,N,N,N,651,674,Pittsburgh Pirates,2091918,62951999
2013,NL,PIT,PIT,C,2,162,94,68,N,Y,N,N,634,577,Pittsburgh Pirates,2256862,77062000
2014,NL,PIT,PIT,C,2,162,88,74,N,Y,N,N,682,631,Pittsburgh Pirates,2442564,77178000
2015,NL,PIT,PIT,C,2,162,98,64,N,Y,N,N,697,596,Pittsburgh Pirates,2498596,88892499
2016,NL,PIT,PIT,C,3,162,78,83,N,N,N,N,729,758,Pittsburgh Pirates,2249201,103778833
2017,NL,PIT,PIT,C,4,162,75,87,N,N,N,N,668,731,Pittsburgh Pirates,1919447,100575946
2018,NL,PIT,PIT,C,4,161,82,79,N,N,N,N,692,693,Pittsburgh Pirates,1465316,87880000
2019,NL,PIT,PIT,C,5,162,69,93,N,N,N,N,758,911,Pittsburgh Pirates,1491439,74808002
2020,NL,PIT,PIT,C,5,60,19,41,N,N,N,N,219,298,Pittsburgh Pirates,0,24770928
1969,NL,SDN,SDP,W,6,162,52,110,N,,N,N,468,746,San Diego Padres,512970,
1970,NL,SDN,SDP,W,6,162,63,99,N,,N,N,681,788,San Diego Padres,643679,
1971,NL,SDN,SDP,W,6,161,61,100,N,,N,N,486,610,San Diego Padres,557513,
1972,NL,SDN,SDP,W,6,153,58,95,N,,N,N,488,665,San Diego Padres,644273,
1973,NL,SDN,SDP,W,6,162,60,102,N,,N,N,548,770,San Diego Padres,611826,
1974,NL,SDN,SDP,W,6,162,60,102,N,,N,N,541,830,San Diego Padres,1075399,
1975,NL,SDN,SDP,W,4,162,71,91,N,,N,N,552,683,San Diego Padres,1281747,
1976,NL,SDN,SDP,W,5,162,73,89,N,,N,N,570,662,San Diego Padres,1458478,
1977,NL,SDN,SDP,W,5,162,69,93,N,,N,N,692,834,San Diego Padres,1376269,
1978,NL,SDN,SDP,W,4,162,84,78,N,,N,N,591,598,San Diego Padres,1670107,
1979,NL,SDN,SDP,W,5,161,68,93,N,,N,N,603,681,San Diego Padres,1456967,
1980,NL,SDN,SDP,W,6,163,73,89,N,,N,N,591,654,San Diego Padres,1139026,
1981,NL,SDN,SDP,W,6,110,41,69,N,,N,N,382,455,San Diego Padres,519161,
1982,NL,SDN,SDP,W,4,162,81,81,N,,N,N,675,658,San Diego Padres,1607516,
1983,NL,SDN,SDP,W,4,163,81,81,N,,N,N,653,653,San Diego Padres,1539815,
1984,NL,SDN,SDP,W,1,162,92,70,Y,,Y,N,686,634,San Diego Padres,1983904,
1985,NL,SDN,SDP,W,3,162,83,79,N,,N,N,650,622,San Diego Padres,2210352,11036583
1986,NL,SDN,SDP,W,4,162,74,88,N,,N,N,656,723,San Diego Padres,1805716,11380693
1987,NL,SDN,SDP,W,6,162,65,97,N,,N,N,668,763,San Diego Padres,1454061,11065796
1988,NL,SDN,SDP,W,3,161,83,78,N,,N,N,594,583,San Diego Padres,1506896,9561002
1989,NL,SDN,SDP,W,2,162,89,73,N,,N,N,642,626,San Diego Padres,2009031,14195000
1990,NL,SDN,SDP,W,4,162,75,87,N,,N,N,673,673,San Diego Padres,1856396,17588334
1991,NL,SDN,SDP,W,3,162,84,78,N,,N,N,636,646,San Diego Padres,1804289,22150001
1992,NL,SDN,SDP,W,3,162,82,80,N,,N,N,617,636,San Diego Padres,1721406,26854167
1993,NL,SDN,SDP,W,7,162,61,101,N,,N,N,679,772,San Diego Padres,1375432,25511333
1994,NL,SDN,SDP,W,4,117,47,70,,,,,479,531,San Diego Padres,953857,14916333
1995,NL,SDN,SDP,W,3,144,70,74,N,N,N,N,668,672,San Diego Padres,1041805,26382334
1996,NL,SDN,SDP,W,1,162,91,71,Y,N,N,N,771,682,San Diego Padres,2187886,28348172
1997,NL,SDN,SDP,W,4,162,76,86,N,N,N,N,795,891,San Diego Padres,2089333,37363672
1998,NL,SDN,SDP,W,1,162,98,64,Y,N,Y,N,749,635,San Diego Padres,2555874,46861500
1999,NL,SDN,SDP,W,4,162,74,88,N,N,N,N,710,781,San Diego Padres,2523538,49768179
2000,NL,SDN,SDP,W,5,162,76,86,N,N,N,N,752,815,San Diego Padres,2352443,54821000
2001,NL,SDN,SDP,W,4,162,79,83,N,N,N,N,789,812,San Diego Padres,2378128,39182833
2002,NL,SDN,SDP,W,5,162,66,96,N,N,N,N,662,815,San Diego Padres,2220601,41425000
2003,NL,SDN,SDP,W,5,162,64,98,N,N,N,N,678,831,San Diego Padres,2030084,45210000
2004,NL,SDN,SDP,W,3,162,87,75,N,N,N,N,768,705,San Diego Padres,3016752,55384833
2005,NL,SDN,SDP,W,1,162,82,80,Y,N,N,N,684,726,San Diego Padres,2869787,63290833
2006,NL,SDN,SDP,W,1,162,88,74,Y,N,N,N,731,679,San Diego Padres,2659757,69896141
2007,NL,SDN,SDP,W,3,163,89,74,N,N,N,N,741,666,San Diego Padres,2790074,58110567
2008,NL,SDN,SDP,W,5,162,63,99,N,N,N,N,637,764,San Diego Padres,2427535,73677616
2009,NL,SDN,SDP,W,4,162,75,87,N,N,N,N,638,769,San Diego Padres,1919603,43333700
2010,NL,SDN,SDP,W,2,162,90,72,N,N,N,N,665,581,San Diego Padres,2131774,37799300
2011,NL,SDN,SDP,W,5,162,71,91,N,N,N,N,593,611,San Diego Padres,2143018,45869140
2012,NL,SDN,SDP,W,4,162,76,86,N,N,N,N,651,710,San Diego Padres,2123721,55244700
2013,NL,SDN,SDP,W,3,162,76,86,N,N,N,N,618,700,San Diego Padres,2166691,65585500
2014,NL,SDN,SDP,W,3,162,77,85,N,N,N,N,535,577,San Diego Padres,2195373,75685700
2015,NL,SDN,SDP,W,4,162,74,88,N,N,N,N,650,731,San Diego Padres,2459742,118441300
2016,NL,SDN,SDP,W,5,162,68,94,N,N,N,N,686,770,San Diego Padres,2351422,101424814
2017,NL,SDN,SDP,W,4,162,71,91,N,N,N,N,604,816,San Diego Padres,2138491,71624400
2018,NL,SDN,SDP,W,5,162,66,96,N,N,N,N,617,767,San Diego Padres,2168536,96130000
2019,NL,SDN,SDP,W,5,162,70,92,N,N,N,N,682,789,San Diego Padres,2396399,74033835
2020,NL,SDN,SDP,W,2,60,37,23,N,Y,N,N,325,241,San Diego Padres,0,69465574
1977,AL,SEA,SEA,W,6,162,64,98,N,,N,N,624,855,Seattle Mariners,1338511,
1978,AL,SEA,SEA,W,7,160,56,104,N,,N,N,614,834,Seattle Mariners,877440,
1979,AL,SEA,SEA,W,6,162,67,95,N,,N,N,711,820,Seattle Mariners,844447,
1980,AL,SEA,SEA,W,7,163,59,103,N,,N,N,610,793,Seattle Mariners,836204,
1981,AL,SEA,SEA,W,6,110,44,65,N,,N,N,426,521,Seattle Mariners,636276,
1982,AL,SEA,SEA,W,4,162,76,86,N,,N,N,651,712,Seattle Mariners,1070404,
1983,AL,SEA,SEA,W,7,162,60,102,N,,N,N,558,740,Seattle Mariners,813537,
1984,AL,SEA,SEA,W,5,162,74,88,N,,N,N,682,774,Seattle Mariners,870372,
1985,AL,SEA,SEA,W,6,162,74,88,N,,N,N,719,818,Seattle Mariners,1128696,4613000
1986,AL,SEA,SEA,W,7,162,67,95,N,,N,N,718,835,Seattle Mariners,1029045,5958309
1987,AL,SEA,SEA,W,4,162,78,84,N,,N,N,760,801,Seattle Mariners,1134255,2263500
1988,AL,SEA,SEA,W,7,161,68,93,N,,N,N,664,744,Seattle Mariners,1022398,7342450
1989,AL,SEA,SEA,W,6,162,73,89,N,,N,N,694,728,Seattle Mariners,1298443,9779500
1990,AL,SEA,SEA,W,5,162,77,85,N,,N,N,640,680,Seattle Mariners,1509727,12553667
1991,AL,SEA,SEA,W,5,162,83,79,N,,N,N,702,674,Seattle Mariners,2147905,15691833
1992,AL,SEA,SEA,W,7,162,64,98,N,,N,N,679,799,Seattle Mariners,1651367,23179833
1993,AL,SEA,SEA,W,4,162,82,80,N,,N,N,734,731,Seattle Mariners,2052638,32696333
1994,AL,SEA,SEA,W,3,112,49,63,,,,,569,616,Seattle Mariners,1104206,29228500
1995,AL,SEA,SEA,W,1,145,79,66,Y,N,N,N,796,708,Seattle Mariners,1643203,36481311
1996,AL,SEA,SEA,W,2,161,85,76,N,N,N,N,993,895,Seattle Mariners,2723850,41328501
1997,AL,SEA,SEA,W,1,162,90,72,Y,N,N,N,925,833,Seattle Mariners,3192237,41540661
1998,AL,SEA,SEA,W,3,161,76,85,N,N,N,N,859,855,Seattle Mariners,2651511,54087036
1999,AL,SEA,SEA,W,3,162,79,83,N,N,N,N,859,905,Seattle Mariners,2916346,54125003
2000,AL,SEA,SEA,W,2,162,91,71,N,Y,N,N,907,780,Seattle Mariners,2914624,58915000
2001,AL,SEA,SEA,W,1,162,116,46,Y,N,N,N,927,627,Seattle Mariners,3507326,74720834
2002,AL,SEA,SEA,W,3,162,93,69,N,N,N,N,814,699,Seattle Mariners,3542938,80282668
2003,AL,SEA,SEA,W,2,162,93,69,N,N,N,N,795,637,Seattle Mariners,3268509,86959167
2004,AL,SEA,SEA,W,4,162,63,99,N,N,N,N,698,823,Seattle Mariners,2940731,81515834
2005,AL,SEA,SEA,W,4,162,69,93,N,N,N,N,699,751,Seattle Mariners,2725459,87754334
2006,AL,SEA,SEA,W,4,162,78,84,N,N,N,N,756,792,Seattle Mariners,2481165,87959833
2007,AL,SEA,SEA,W,2,162,88,74,N,N,N,N,794,813,Seattle Mariners,2672223,106460833
2008,AL,SEA,SEA,W,4,162,61,101,N,N,N,N,671,811,Seattle Mariners,2329702,117666482
2009,AL,SEA,SEA,W,3,162,85,77,N,N,N,N,640,692,Seattle Mariners,2195533,98904166
2010,AL,SEA,SEA,W,4,162,61,101,N,N,N,N,513,698,Seattle Mariners,2085488,86510000
2011,AL,SEA,SEA,W,4,162,67,95,N,N,N,N,556,675,Seattle Mariners,1939421,86110600
2012,AL,SEA,SEA,W,4,162,75,87,N,N,N,N,619,651,Seattle Mariners,1721920,81978100
2013,AL,SEA,SEA,W,4,162,71,91,N,N,N,N,624,754,Seattle Mariners,1761546,74005043
2014,AL,SEA,SEA,W,3,162,87,75,N,N,N,N,634,554,Seattle Mariners,2064334,92531100
2015,AL,SEA,SEA,W,4,162,76,86,N,N,N,N,656,726,Seattle Mariners,2193581,122208700
2016,AL,SEA,SEA,W,2,162,86,76,N,N,N,N,768,707,Seattle Mariners,2267928,135683339
2017,AL,SEA,SEA,W,3,162,78,84,N,N,N,N,750,772,Seattle Mariners,2135445,154800918
2018,AL,SEA,SEA,W,3,162,89,73,N,N,N,N,677,711,Seattle Mariners,2299489,162480000
2019,AL,SEA,SEA,W,5,162,68,94,N,N,N,N,758,893,Seattle Mariners,1791863,138865075
2020,AL,SEA,SEA,W,3,60,27,33,N,N,N,N,254,303,Seattle Mariners,0,48421623
1901,NL,NY1,SFG,,7,141,52,85,,,N,,544,755,New York Giants,297650,
1902,NL,NY1,SFG,,8,141,48,88,,,N,,405,604,New York Giants,302875,
1903,NL,NY1,SFG,,2,142,84,55,,,N,N,729,567,New York Giants,579530,
1904,NL,NY1,SFG,,1,157,106,47,,,Y,,744,474,New York Giants,609826,
1905,NL,NY1,SFG,,1,155,105,48,,,Y,Y,780,505,New York Giants,552700,
1906,NL,NY1,SFG,,2,152,96,56,,,N,N,625,509,New York Giants,402850,
1907,NL,NY1,SFG,,4,155,82,71,,,N,N,574,510,New York Giants,538350,
1908,NL,NY1,SFG,,2,157,98,56,,,N,N,651,455,New York Giants,910000,
1909,NL,NY1,SFG,,3,158,92,61,,,N,N,624,547,New York Giants,783700,
1910,NL,NY1,SFG,,2,155,91,63,,,N,N,715,567,New York Giants,511785,
1911,NL,NY1,SFG,,1,154,99,54,,,Y,N,756,542,New York Giants,675000,
1912,NL,NY1,SFG,,1,154,103,48,,,Y,N,823,571,New York Giants,638000,
1913,NL,NY1,SFG,,1,156,101,51,,,Y,N,684,515,New York Giants,630000,
1914,NL,NY1,SFG,,2,156,84,70,,,N,N,672,576,New York Giants,364313,
1915,NL,NY1,SFG,,8,155,69,83,,,N,N,582,628,New York Giants,391850,
1916,NL,NY1,SFG,,4,155,86,66,,,N,N,597,504,New York Giants,552056,
1917,NL,NY1,SFG,,1,158,98,56,,,Y,N,635,457,New York Giants,500264,
1918,NL,NY1,SFG,,2,124,71,53,,,N,N,480,415,New York Giants,256618,
1919,NL,NY1,SFG,,2,140,87,53,,,N,N,605,470,New York Giants,708857,
1920,NL,NY1,SFG,,2,155,86,68,,,N,N,682,543,New York Giants,929609,
1921,NL,NY1,SFG,,1,153,94,59,,,Y,Y,840,637,New York Giants,973477,
1922,NL,NY1,SFG,,1,156,93,61,,,Y,Y,852,658,New York Giants,945809,
1923,NL,NY1,SFG,,1,153,95,58,,,Y,N,854,679,New York Giants,820780,
1924,NL,NY1,SFG,,1,154,93,60,,,Y,N,857,641,New York Giants,844068,
1925,NL,NY1,SFG,,2,152,86,66,,,N,N,736,702,New York Giants,778993,
1926,NL,NY1,SFG,,5,151,74,77,,,N,N,663,668,New York Giants,700362,
1927,NL,NY1,SFG,,3,155,92,62,,,N,N,817,720,New York Giants,858190,
1928,NL,NY1,SFG,,2,155,93,61,,,N,N,807,653,New York Giants,916191,
1929,NL,NY1,SFG,,3,152,84,67,,,N,N,897,709,New York Giants,868806,
1930,NL,NY1,SFG,,3,154,87,67,,,N,N,959,814,New York Giants,868714,
1931,NL,NY1,SFG,,2,153,87,65,,,N,N,768,599,New York Giants,812163,
1932,NL,NY1,SFG,,6,154,72,82,,,N,N,755,706,New York Giants,484868,
1933,NL,NY1,SFG,,1,156,91,61,,,Y,Y,636,515,New York Giants,604471,
1934,NL,NY1,SFG,,2,153,93,60,,,N,N,760,583,New York Giants,730851,
1935,NL,NY1,SFG,,3,156,91,62,,,N,N,770,675,New York Giants,748748,
1936,NL,NY1,SFG,,1,154,92,62,,,Y,N,742,621,New York Giants,837952,
1937,NL,NY1,SFG,,1,152,95,57,,,Y,N,732,602,New York Giants,926887,
1938,NL,NY1,SFG,,3,152,83,67,,,N,N,705,637,New York Giants,799633,
1939,NL,NY1,SFG,,5,151,77,74,,,N,N,703,685,New York Giants,702457,
1940,NL,NY1,SFG,,6,152,72,80,,,N,N,663,659,New York Giants,747852,
1941,NL,NY1,SFG,,5,156,74,79,,,N,N,667,706,New York Giants,763098,
1942,NL,NY1,SFG,,3,154,85,67,,,N,N,675,600,New York Giants,779621,
1943,NL,NY1,SFG,,8,156,55,98,,,N,N,558,713,New York Giants,466095,
1944,NL,NY1,SFG,,5,155,67,87,,,N,N,682,773,New York Giants,674483,
1945,NL,NY1,SFG,,5,154,78,74,,,N,N,668,700,New York Giants,1016468,
1946,NL,NY1,SFG,,8,154,61,93,,,N,N,612,685,New York Giants,1219873,
1947,NL,NY1,SFG,,4,155,81,73,,,N,N,830,761,New York Giants,1600793,
1948,NL,NY1,SFG,,5,155,78,76,,,N,N,780,704,New York Giants,1459269,
1949,NL,NY1,SFG,,5,156,73,81,,,N,N,736,693,New York Giants,1218446,
1950,NL,NY1,SFG,,3,154,86,68,,,N,N,735,643,New York Giants,1008878,
1951,NL,NY1,SFG,,1,157,98,59,,,Y,N,781,641,New York Giants,1059539,
1952,NL,NY1,SFG,,2,154,92,62,,,N,N,722,639,New York Giants,984940,
1953,NL,NY1,SFG,,5,155,70,84,,,N,N,768,747,New York Giants,811518,
1954,NL,NY1,SFG,,1,154,97,57,,,Y,Y,732,550,New York Giants,1155067,
1955,NL,NY1,SFG,,3,154,80,74,,,N,N,702,673,New York Giants,824112,
1956,NL,NY1,SFG,,6,154,67,87,,,N,N,540,650,New York Giants,629179,
1957,NL,NY1,SFG,,6,154,69,85,,,N,N,643,701,New York Giants,653923,
1958,NL,SFN,SFG,,3,154,80,74,,,N,N,727,698,San Francisco Giants,1272625,
1959,NL,SFN,SFG,,3,154,83,71,,,N,N,705,613,San Francisco Giants,1422130,
1960,NL,SFN,SFG,,5,156,79,75,,,N,N,671,631,San Francisco Giants,1795356,
1961,NL,SFN,SFG,,3,155,85,69,,,N,N,773,655,San Francisco Giants,1390679,
1962,NL,SFN,SFG,,1,165,103,62,,,Y,N,878,690,San Francisco Giants,1592594,
1963,NL,SFN,SFG,,3,162,88,74,,,N,N,725,641,San Francisco Giants,1571306,
1964,NL,SFN,SFG,,4,162,90,72,,,N,N,656,587,San Francisco Giants,1504364,
1965,NL,SFN,SFG,,2,163,95,67,,,N,N,682,593,San Francisco Giants,1546075,
1966,NL,SFN,SFG,,2,161,93,68,,,N,N,675,626,San Francisco Giants,1657192,
1967,NL,SFN,SFG,,2,162,91,71,,,N,N,652,551,San Francisco Giants,1242480,
1968,NL,SFN,SFG,,2,163,88,74,,,N,N,599,529,San Francisco Giants,837220,
1969,NL,SFN,SFG,W,2,162,90,72,N,,N,N,713,636,San Francisco Giants,873603,
1970,NL,SFN,SFG,W,3,162,86,76,N,,N,N,831,826,San Francisco Giants,740720,
1971,NL,SFN,SFG,W,1,162,90,72,Y,,N,N,706,644,San Francisco Giants,1106043,
1972,NL,SFN,SFG,W,5,155,69,86,N,,N,N,662,649,San Francisco Giants,647744,
1973,NL,SFN,SFG,W,3,162,88,74,N,,N,N,739,702,San Francisco Giants,834193,
1974,NL,SFN,SFG,W,5,162,72,90,N,,N,N,634,723,San Francisco Giants,519987,
1975,NL,SFN,SFG,W,3,161,80,81,N,,N,N,659,671,San Francisco Giants,522919,
1976,NL,SFN,SFG,W,4,162,74,88,N,,N,N,595,686,San Francisco Giants,626868,
1977,NL,SFN,SFG,W,4,162,75,87,N,,N,N,673,711,San Francisco Giants,700056,
1978,NL,SFN,SFG,W,3,162,89,73,N,,N,N,613,594,San Francisco Giants,1740477,
1979,NL,SFN,SFG,W,4,162,71,91,N,,N,N,672,751,San Francisco Giants,1456402,
1980,NL,SFN,SFG,W,5,161,75,86,N,,N,N,573,634,San Francisco Giants,1096115,
1981,NL,SFN,SFG,W,4,111,56,55,N,,N,N,427,414,San Francisco Giants,632274,
1982,NL,SFN,SFG,W,3,162,87,75,N,,N,N,673,687,San Francisco Giants,1200948,
1983,NL,SFN,SFG,W,5,162,79,83,N,,N,N,687,697,San Francisco Giants,1251530,
1984,NL,SFN,SFG,W,6,162,66,96,N,,N,N,682,807,San Francisco Giants,1001545,
1985,NL,SFN,SFG,W,6,162,62,100,N,,N,N,556,674,San Francisco Giants,818697,8221714
1986,NL,SFN,SFG,W,3,162,83,79,N,,N,N,698,618,San Francisco Giants,1528748,8947000
